das Abonnement, -s;suscripción f,abono m;Ich habe das Abonnement gekündigt.
"der Abschluss, -""sse";cierre m,conclusión f,término m,diploma m,título m,transacción f,operación f;Ein guter Schulabschluss ist sehr wichtig.
der Absender, -;remitente mf,remite m,expedidor(a) m (f);Schicken Sie das Päckchen an den Absender zurück.
die Absicht, -en;intención f,propósito m,objetivo m;Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.
absolut;absoluto,absolutamente,por completo,en absoluto;1. Was Sie da sagen, ist absolut falsch. 2. Ich habe absolutes Vertrauen zu dir.
abstimmen, stimmt ab, stimmte ab, hat abgestimmt;votar sobre,ajustar a,compaginar con,sintonizar;Lasst uns über diesen Punkt abstimmen.
die Abteilung, -en;división f,separación f,sección f,departamento m,sala f,unidad f,destacamento m;Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.
abwaschen, wäscht ab,  wusch ab, hat abgewaschen;fregar,limpiar;Ich muss noch das Geschirr abwaschen.
ach;¡ah!;1. Sie sind krank? Ach, das tut mir aber leid. 2. Ach so! Jetzt verstehe ich, was Sie meinen. 3. Ach ja, das hatte ich vergessen. Heute gehen wir ja zu deinen Freunden. 4. Ich habe Angst, ich schaffe es nicht. – Ach was! Das wird schon klappen. 
achten auf, achtet, achtete, hat geachtet;"";1. Achten Sie bitte darauf, dass abendsimmer alle Fenster geschlossen sind. 2. Hier müssen Sie auf die Vorfahrt achten. 
die Achtung;atención f,respeto m a;Achtung, hier endet die Straße!
die Adresse, -n;dirección f,señas f pl;Hast du schon meine neue Adresse?
 die Agentur, -en;agencia f;Ich habe einen Brief von der Agentur für Arbeit bekommen.
ähnlich;parecido, semejante;1. Oleg sieht seinem Bruder sehr ähnlich. 2. Emilia ist in einer ganz ähnlichen Situation wie ich.
aha;¡ajá!, ¡ya!;Ich gehe bald in Rente. – Aha, dann haben Sie ja viel Zeit für Ihre Hobbys.
die Ahnung, -en ;presentimiento m,corazonada f,idea f;Ich hatte keine Ahnung, dass du heute Geburtstag hast.
die Aktion, -en ;acción f,promoción f;Die Regierung plant eine Aktion gegen das Rauchen.
aktiv;activo,en activo,(en) activo;Ich bin sehr aktiv und mache viel Sport.
die Aktivität, -en;actividad f;In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.
aktuell;actual,de actualidad,de moda;Umweltschutz ist ein aktuelles Thema.
akzeptieren, akzeptiert, akzeptierte, hat akzeptiert;aceptar;Ich kann diese Bedingungen nicht akzeptieren.
der Alarm, -e;alarma f,alerta f;Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.
der Alkohol;alcohol m;1. Du musst die Wunde mit Alkohol reinigen. 2. Nein, danke! Ich trinke keinen Alkohol.
all-;"";1. Alles Gute! 2. Sonst noch (et)was? – Nein, danke. Das ist alles. 3. Sind alle da? 4. Alle unsere Freunde kommen. 5. Hast du alles?
allein;solo, a solas,solo,sólo, solamente,pero, sin embargo;1. Ich gehe nicht gern allein spazieren. 2. Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein. 3. Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet.
aller-;"";1. Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund.2. Das ist das Allerschönste, was ich je gesehen habe.
allerdings;pero, no obstante,naturalmente, claro que sí;Sie können sich noch für den Kurs anmelden, allerdings nur noch bis morgen.
allgemein;general,universal, público,común,en general;1. Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden. 2. Wir haben nur über allgemeine Probleme gesprochen.
der Alltag;día m (normal),vida f cotidiana,día a día m,rutina f (diaria);Das ist mein Alltag: putzen, waschen, kochen.
das Alphabet, -e;alfabeto m,abecedario m;Wie viele Buchstaben hat das Alphabet Ihrer Sprache?
als;(justo) cuando,al +inf,cuando,como si, que,que,como, de;1. Als mein Mann kam, war die Party schon zu Ende.2. Sie können sich sowohl persönlich als auch per Internet anmelden. 3. Meine Schwester ist älter als ich. 4. Es ist später, als ich dachte.
als ob;"";Der Chef tat so, als ob wir nie darüber gesprochen hätten.
also;así, por consiguiente,o sea,bueno;1. Also, die Sache ist so: ... 2. Irina hat Urlaub. Sie kann uns alsohelfen. 3. Also wirklich, jetzt reicht es.
alt;viejo,anciano, de avanzada edad,carroza fam,usado, de segunda mano, gastado,clásico,antiguo;1. Wie alt sind Sie? 2. Maria ist eine alte Freundin von mir.
das Alter;vejez f,edad f;1. Wir sind etwa im gleichen Alter. 2. Im Alter bekomme ich eine ausreichende Rente. 3. Alter: 26 Jahre
das Altenheim, -e ;residencia f de ancianos;In Deutschland leben viele alte Leute in Altenheimen.
das Altersheim, e;residencia f de ancianos;Die Großeltern unserer Nachbarn sind im Altersheim.
an;en, junto a,(a orillas) de,a,a, contra,a, para,aproximadamente, unos,encendido;1. Am Anfang war alles sehr schwierig. 2. Dann sehen wir uns also am Dienstag. 3. Ich warte am Bahnhof auf dich. 4. Meine Freundin ist Lehrerin am Gymnasium. 5. Am besten, du gehst zur Information und fragst da. 6. Das Licht war die ganze Nacht an.
die Ampel, -n;semáforo m,maceta f colgante;Dort an der Ampel kannst du über die Straße gehen.
" das Amt, -""er";cargo m,puesto m,obligaciones f pl,departamento m,central f (telefónica),línea f,misa f cantada;1. Die ämter haben heute geschlossen. 2. Wissen Sie, wo das Ordnungsamt ist?
amüsieren sich, amüsiert sich, amüsierte sich, hat sich amüsiert;"";Bei dem Fest haben wir uns sehr gut amüsiert.
analysieren, analysiert, analysierte, hat analysiert;analizar;Die Politiker analysieren die Situation auf dem Arbeitsmarkt.
anbieten, bietet an, bot an, hat angeboten;ofrecer, brindar,ofertar,proponer, ofrecer;Darf ich Ihnen etwas zu trinken anbieten?
das Angebot, -e;ofrecimiento m,oferta f,surtido m;1. Ich habe ein paar günstige Wohnungs- angebote bekommen. 2. Dieser Käse ist heute im Angebot.
ander-;"";1. Die anderen sind schon nach Hause gegangen.2. Bitte nicht alle auf einmal! Einer nach dem anderen.3. Ich hätte gern ein anderes Auto. 4. Das andere Kleid gefällt mir besser. 5. Natascha hat unter anderem Chinesisch und Spanisch gelernt.
andererseits;"";Tarek will zwar studieren. Anderer- seits möchte er aber auch gleich Geld verdienen.
ändern, ändert, änderte, hat geändert;cambiar, modificar;1. Das Wetter hat sich geändert. 2. Ich habe meine Meinung inzwischen geändert. 3. Können Sie mir diese Hose ändern?
die änderung, -en;"";Es gibt eine Programmänderung.
anders;de otra manera [oder forma] que,de otro modo que,distinto a/de,al contrario que;1. Anders geht das leider nicht. 2. Oliver ist anders als seine Freunde. 3. Ich würde das anders machen.
anerkennen, erkennt an, erkannte an, hat anerkannt;aceptar, admitir,confesar,reconocer,legitimar, legalizar,convalidar;Meine Ausbildung wird hier nicht anerkannt.
anfangen, fängt an, fing an, hat angefangen;empezar,comenzar,comenzar con/por a,empezar con/por a,echarse a,romper a,iniciar,entablar,hacer;1. Wann fängst du mit der Arbeit an? 2. Wann haben Sie angefangen, Deutsch zu lernen? 3. Hier fängt die Bahnhofstraße an.
"der Anfang, -""e";comienzo m,principio m;"1. Wie war der Film? – Ich habe nur den Anfang gesehen. 2. Am Anfang habe ich mich hier sehr fremd gefühlt. 3. Mein Chef ist Anfang Fünfzig.4. Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe.
5. Wir machen Anfang Juli Ferien. 6. Meine Freundin wohnt am Anfang
der Straße."
anfangs;a principios de,al principio, al comienzo;Anfangs ging alles gut.
die Angabe,-n;indicación f,dato m,saque m,servicio m,fanfarronería f,chulería f;Wir brauchen von Ihnen folgende An- gaben: Name, Adresse, Geburtsdatum.
angeben, gibt an, gab an, hat angegeben;fanfarronear, presumir de,sacar,jugar primero, ser mano,indicar, señalar,decir,detallar, especificar,alegar,determinar, fijar,denunciar,declarar;Bitte geben Sie Ihre genaue Adresse an
der Angehörige, -n;"";Wir dürfen nur Familienangehörigen Auskunft geben.
angenehm;agradable, grato,ameno, entretenido,simpático;1. Wir wünschen Ihnen eine angenehme Reise.2. Welcher Termin wäre Ihnen angenehm?
"die Angst, -""e";miedo m a/de,naco m Arg,temor m a/de,terror m,espanto m,preocupación f por;1. Du brauchst keine Angst zu haben. Der Hund tut dir nichts.2. Ich habe Angst, vielleicht ist etwas passiert.
ängstlich;miedoso, temeroso,apocado,pusilánime,escrupuloso, meticuloso,preocupado;Meine Tochter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.
anhaben, hat an, hatte an, hat angehabt;llevar (puesto), vestir;Gestern hatte Julia ein rotes Kleid an.
ankommen, kommt an, kam an, ist angekommen;llegar a,arribar a,gustar,ser aceptado [oder bien acogido],depender de,ser importante;1. Wann kommt der Zug in Hamburg an? 2. Es kommt darauf an, dass Sie alle Fragen im Test beantworten. 3. Welche Note brauche ich? – Das kommt darauf an, ob Sie studieren möchten oder nicht.
die Ankunft;llegada f,arribada f;1. Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr.2. Gleich nach der Ankunft habe ich meine Eltern angerufen.
die Anlage, -n;disposición f para,inclinación f a,predisposición f a,talento m para,construcción f,jardín m,parque m,polideportivo m,dispositivo m,instalación f,planta f,equipo m,inversión f,anejo m,anexo m,suplemento m;1. Meine Musikanlage ist kaputt. 2. In der Anlage finden Sie meinen Lebenslauf.
anmelden, meldet an, meldete an, hat ange- meldet, angemeldet sein;anunciar, avisar,matricular,inscribir,presentar;1. Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.2. Ich melde meinen Sohn im Kindergarten an.
die Anmeldung, -en;aviso m,declaración f,matrícula f,inscripción f,registro m,inicio (de una sesión) f,recepción f;1. Wo bekomme ich die Formulare für die Anmeldung?2. Die Anmeldung ist im Erdgeschoss, Zimmer 55.
die Anrede, -n;tratamiento m,encabezamiento m;Du darfst im Brief die Anrede nicht vergessen.
anrufen, ruft an, rief an, hat angerufen;llamar,pedir a,implorar a,invocar,acudir a,apelar a,llamar (por teléfono);Ich rufe Sie heute Abend an.
der Anruf, -e;llamada f,llamado m,llamamiento m;1. Ich warte auf einen Anruf aus Berlin. 2. Meine Tochter bekommt viele Anrufe auf ihrem Handy.
der Anrufbeantworter, - ;contestador m automático;Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.
die Ansage, -n;anuncio m,aviso m,presentación f;Achten Sie auf die Ansage am Bahnsteig.
anschaffen, schafft an, schaffte an, hat angeschafft;comprar(se),adquirir,prostituirse;Wir haben uns neue Möbel angeschafft.
anschließen, schließt an, schloss an, hat angeschlossen;asegurar, sujetar a,conectar a,añadir a,agregar a;Wo kann ich den Computer anschließen?
"der Anschluss, -""e";adhesión f a,afiliación f a,unión f a,conexión f a/con,comunicación f con,enlace m,correspondencia f,entronque m AmC,compañía f,amistades f pl;1. In Mannheim haben Sie Anschluss nach Saarbrücken. 2. Ich brauche in meiner Wohnung einen Telefonanschluss.
anschnallen, schnallt an, schnallte an, hat angeschnallt;sujetar,atar,poner(se),calzar(se);Vergiss nicht, dich anzuschnallen!
ansehen, sieht an,sah an, hat angesehen;mirar, contemplar,examinar,(ir a) ver,visitar,considerar,notar;1. Warum siehst du mich so erschrocken an? 2. Darf ich eure Urlaubsfotos ansehen?
ansprechen, spricht an, sprach an, hat angesprochen;reaccionar a,mencionar,abordar,dirigirse a,dirigir la palabra a,gustar a,llegar a;Gestern hat mich die neue Mieterin im Treppenhaus angesprochen.
"der Anspruch, - ""e";derecho m a,pretensión f sobre,exigencia f de,pretensiones f pl;Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.
anstellen, stellt an,stellte an, hat angestellt;poner en marcha,encender,contratar,colocar contra,efectuar, realizar,arreglárselas con,hacer;1. Können Sie bitte die Heizung anstellen? 2. Mein Schwager ist bei einer Möbelfirma angestellt.3. Da vorne ist die Kasse. Du musst dich anstellen.
der Angestellte, -n;"";Björn ist Angestellter in einem Reisebüro.
anstrengen sich, strengt sich an, strengte sich an, hat sich angestrengt;"";1. Diese Arbeit strengt mich sehr an. 2. Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen.
anstrengend;duro, agotador,cansador Arg,laborioso, trabajoso;Ich finde diese Arbeit sehr anstrengend.
"der Antrag, -""e";solicitud f de,petición f de,instancia f de,(formulario m de) solicitud f,moción f de,propuesta f de matrimonio;1. Haben Sie schon einen Antrag auf Wohngeld gestellt? 2. Die Anträge bekommen Sie in Zimmer 47.
anwenden, wendet an, wandte an, hat angewandt/ angewendet;aplicar,usar,recurrir a;Diese Salbe muss man dreimal am Tag anwenden.
anwesend;presente, asistente;Bei dem Treffen waren alle Mitglieder anwesend.
antworten, antwortet, antwortete, hat geantwortet;contestar a,responder a,responder con a;Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.
die Antwort, -en;respuesta f a,contestación f a;Leider habe ich keine Antwort bekommen.
" der Anwalt, -""e";abogado(-a) m (f),defensor(a) m (f);Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.
anzeigen, zeigt an, zeigte an, hat angezeigt;denunciar,quemar AmC,publicar (en un periódico),indicar, señalar,visualizar,indicar,mostrar;Wenn Sie hier parken, zeige ich Sie an.
die Anzeige, -n;anuncio m,esquela f,denuncia f,denuncio m And,indicador m,indicación f,marcador m,visualización f,despliegue m,pantalla f;1. Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.2. Ich habe alle Wohnungsanzeigen gelesen. Aber das ist alles viel zu teuer.
anziehen, zieht an, zog an, hat angezogen;arrancar,ir subiendo,vestir,poner,encoger,encogerse de,apretar,absorber,atraer;1. Du musst dich wärmer anziehen, sonst erkältest du dich.2. Morgen ziehe ich mir etwas Wärmeres an.3. Zieh dich bitte an! Wir müssen gehen.
"der Anzug, -""e ";traje m,percha f AmC,aceleración f;Mein Mann hat sich einen neuen Anzug gekauft.
das Apartment, -s;apartam(i)ento m;Wir haben ein Ferienapartment gemietet.
"der Apfel, -""";manzana f;1. Möchtest du einen Apfel? 2. Ein Pfund äpfel bitte.
die Apotheke, -n;farmacia f;Ist hier in der Nähe eine Apotheke?
 der Apparat, -e;aparato m,máquina f,teléfono m;1. Können Sie den Apparat bitte etwas leiser stellen?2. Wo ist mein Fotoapparat?
der Appetit;apetito m de,antojo m Mex;1. Ich habe heute keinen Appetit. Ich mag nichts essen.2. Worauf hast du Appetit? Vielleicht auf einen Salat?3. Guten Appetit! 
die Aprikose, -n;albaricoque m;Schmecken dir die Aprikosen?
arbeiten, arbeitet, arbeitete, hat gearbeitet;trabajar,laburar Arg, Urug,funcionar,alabearse, bornearse,hacer, producir;1. Meine Cousine arbeitet zu viel. 2. Arzu arbeitet als Krankenschwester im Krankenhaus.
die Arbeit, -en;trabajo m,labor f,empleo m,molestia f,esfuerzo m,examen m,práctica f;1. Wie gefällt dir deine Arbeit? 2. Nach der Ausbildung hat Mohamed eine Arbeit gefunden.
der Arbeiter, -  ;obrero(-a) m (f),trabajador(a) m (f),labriego(-a) m (f);Björn ist Arbeiter bei Siemens.
der Arbeitgeber, -;empresario(-a) m (f),patrón(-ona) m (f);Wer ist Ihr Arbeitgeber?
der Arbeitnehmer, -;empleado(-a) m (f),asalariado(-a) m (f),trabajador(a) m (f);Die Arbeitnehmer wählen einen Betriebsrat.
die Arbeitserlaubnis;permiso m de trabajo;Bitte bringen Sie Ihre Arbeitserlaubnis mit.
arbeitslos;parado, sin trabajo;Viele Leute hier sind schon lange arbeitslos.
die Arbeitslosigkeit ;desempleo m,paro m;Die Arbeitslosigkeit ist gesunken.
"der Arbeitsplatz, -""e";lugar m de trabajo [oder para trabajar],trabajo m,puesto m de trabajo,empleo m;In der Industrie gibt es immer weniger Arbeitsplätze.
die Arbeitsstelle, -n;puesto m de trabajo;Meine Frau hat eine neue Arbeitsstelle gefunden.
ärgern, ärgert, ärgerte, hat geärgert;fastidiar, molestar;ärgern Sie sich nicht.
der ärger;"";Ich hatte heute ärger im Büro. Ich habe mich mit einem Kollegen gestritten.
ärgerlich;enfadado, molesto,indignado, enojado,desagradable, molesto;Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.
arm;pobre,necesitado,sin recursos,infeliz, pobre;1. Bitte sammeln Sie Geld für arme Kinder!2. Ich hätte gerne 200 g fettarmen Käse.
der Arm, -e;brazo m,manga f;Mein Freund hat sich den Arm gebrochen.
die Art, -en ;clase f,tipo m,especie f,manera f,modo m,carácter m,naturaleza f;Okra ist eine Gemüseart.
der Artikel, -;artículo m;1. Ich habe einen interessanten Artikel gelesen.2. Im Deutschen gibt es drei Artikel: der, die, das.
"der Arzt, -""e";médico(-a) m (f),doctor(a) m (f);1. Ich muss heute zum Arzt. 2. Wann warst du beim Zahnarzt?
 das Asyl;asilo m;Viele Ausländer bitten in der Bundesrepublik um politisches Asyl.
atmen, atmet, atmete, hat geatmet;respirar;Er hat eine Erkältung und kann nicht durch die Nase atmen.
auch;también, asimismo,incluso, ni siquiera,en efecto, de hecho,además, también;1. Ich muss leider gehen. – Ich auch. 2. Ich arbeite die ganze Woche und muss auch am Wochenende arbeiten. 3. Wir fahren auf jeden Fall, auch wenn es regnet. 4. Der Zug ist gerade eben abgefahren.Warum kommst du auch so spät?
auf;sobre,encima de,en,durante,a, en,a, hacia,de,arriba,abierto;1. Deine Brille liegt auf dem Schreibtisch. 2. Die Kinder spielen unten auf der Straße. 3. Meine Eltern leben auf dem Land. 4. Gestern waren wir auf einer Party. 5. Auf unsere Anzeige in der Abendzeitung hat sich noch niemand gemeldet. 6. Wie heißt das auf Deutsch? 7. Meine Tochter kommt nächstes Jahr aufs Gymnasium.
der Aufenthalt, -e;estancia f,parada f,domicilio m,residencia f;1. Der Zug hat in München nur 20 Minuten Aufenthalt.2. Haben Sie eine gültige Aufenthaltserlaubnis?3. Wir wünschen Ihnen einen angenehmen Aufenthalt.
auffallen, fällt auf, fiel auf, ist aufgefallen;llamar la atención, saltar a la vista,notarse;Mir ist aufgefallen, dass Harriett ganz blass ist.
die Aufforderung, -en;invitación f a,requerimiento m de,exhortación f a,mandato m de,exigencia f de;Sie erhalten eine Zahlungsaufforderung.
aufführen, führt auf, führte auf, hat aufgeführt;representar,presentar,exponer,nombrar,dar;Die Kinder führen zu Weihnachten ein Theaterstück auf.
die Aufgabe, -n;tarea f,cometido m,obligación f,deber m,deberes m pl,ejercicio m,problema m,cese m,dimisión f,liquidación f,rendición f,retirada f,abandono m de,renuncia f a,facturación f,expedición f,envío m,inserción f;1. Hast du deine Hausaufgaben für die Schule schon gemacht?2. Das ist nicht meine Aufgabe.
aufgeben, gibt auf, gab auf, hat aufgegeben;darse por vencido,rendirse,renunciar,desistir,expedir,enviar,facturar,poner,encargar,pedir,proponer,plantear,dar,imponer,abandonar,perder,dar por muerto,desahuciar,dar por perdido,dejar,renunciar a;1. Ich habe auf der Post ein Paket aufgegeben. 2. Man darf nie aufgeben. Es gibt immer eine Hoffnung.
aufhalten, hält auf, hielt auf, hat aufgehalten;impedir, evitar,parar,obstruir,molestar,no dejar trabajar,mantener abierto;"1. Hier können Sie sich aufhalten, bis Sie an der Reihe sind. 2. Darf ich Ihnen die Tür aufhalten? 3. Entschuldigen Sie die Verspätung,
ich wurde aufgehalten."
aufheben, hebt auf, hob auf, hat aufgehoben;guardar,derogar, anular,revocar,levantar,recoger de,compensar,neutralizar;"1. Lassen Sie die Papiere nur auf dem
Boden liegen, ich hebe sie schon auf. 2. Die Quittung müssen Sie gut aufheben."
aufhören, hört auf,        1. hörte auf, hat aufgehört;terminar,acabar;1. Es hört nicht auf zu schneien. 2. Wann hört ihr mit der Arbeit auf? 3. Hier hört die Hauptstraße auf.
auflösen, löst auf, löste auf, hat aufgelöst;disolver, diluir,reducir, descomponer,liquidar,disolver,anular, invalidar,deshacer,dispersar,cerrar, cancelar,resolver,clarificar;Die Tablette bitte in Wasser auflösen.
aufmerksam;atento,alerta,atento, cortés; 1.Die Schülerin hörte aufmerksam zu. 2. Ich mache Sie darauf aufmerksam, dass wir in einer halben Stunde schließen.
aufnehmen, nimmt auf,        1. nahm auf, hat aufgenommen;comenzar,iniciar,entablar,retomar,absorber,ingerir,asimilar,pedir,recoger de,grabar en,acoger,hospedar,ingresar en,admitir en,limpiar;"1. Wir haben Aneta in unseren Verein aufgenommen. 2. Ich habe den Film im Urlaub
aufgenommen."
die Aufnahme, -n;recibimiento m,acogida f,alojamiento m,hospedaje m,recepción f,admisión f en,ingreso m en,incorporación f a/en,grabación f,foto(grafía) f,toma f,comienzo m,captación f;Bringen Sie bitte Ihre Röntgenaufnah- men zur nächsten Sprechstunde mit.
aufpassen, passt auf,        1. passte auf, hat aufgepasst;tener cuidado,cuidar;"1. Tut mir leid. Da habe ich wohl nicht
aufgepasst. 2. Ich muss zu Hause bleiben und auf
die Kinder aufpassen."
aufräumen, räumt auf, räumte auf, hat aufgeräumt;ordenar,arreglar, ordenar;Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.
aufregen, regt auf,        1. regte auf, hat aufgeregt;alterar,excitar,irritar,exaltar,exasperar;"1. Es regt mich auf, dass ich schon wieder überstunden machen muss. 2. Ruf gleich an, wenn du angekommen
bist, sonst regt sich deine Mutter
wieder auf. 3. Ganz ruhig! Bitte regen Sie sich
nicht auf. 4. Die Musikgruppe zu erleben war sehr aufregend."
auf sein, ist auf,        1. war auf, ist auf gewesen;"";Ich bin schon seit zwei Stunden auf. Du brauchst nicht zu klingeln, die Tür ist auf.
aufstehen, steht auf,        1. stand auf, ist aufgestanden;ponerse de pie,levantarse,estar abierto;"1. Ich stehe jeden Morgen um sechs Uhr auf. 2. Sie brauchen nicht aufzustehen. Sie
können sitzen bleiben. 3. Solange Sie Fieber haben, dürfen Sie
auf keinen Fall aufstehen."
"der Auftrag, -""e";orden f,encargo m,pedido m,mandato m,misión f,comisión f,tarea f,mano f,capa f;1. Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief abgeben. 2. Im Moment hat die Firma besonders viele Aufträge.
auftreten, tritt auf, trat auf, ist aufgetreten;pisar,presentarse,actuar,comportarse,surgir, aparecer,abrir a patadas;Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.
aufwachen, wacht auf, wachte auf, ist aufgewacht;despertar(se) de;Von dem Lärm bin ich aufgewacht.
aufwärts;(hacia) arriba;1. Sie müssen gut zu Fuß sein. Es geht immer aufwärts.2. In letzter Zeit geht es wieder aufwärts mit der Wirtschaft.
"der Aufzug, -""e";despliegue m,acercamiento m,llegada f,ascensor m,elevador m AmC, Mex,montacargas m inv,pinta f,escena f,acto m;Der Aufzug ist leider wieder kaputt.
 das Auge, -n;ojo m,vista f,punto m,grillo m;Meine beiden Kinder haben blaue Augen.
der Augenblick, e;momento m,instante m;1. Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen. 2. Einen Augenblick, bitte!
aus;de, por,de,apagado,fuera;1. Frau Müller geht jeden Morgen um 8 Uhr aus dem Haus.2. Frau özgen kommt aus der Türkei. 3. Die Möbel sind noch aus der Zeit um 1900. 4. Ich trage nur Pullover aus reiner Wolle. 5. Wir haben aus Liebe geheiratet.
die Ausbildung, -en;formación f profesional;1. Ich habe meine Ausbildung abgeschlossen. 2. Mit deiner guten Ausbildung findest du sicher eine Arbeit.
"der Ausbildungsplatz, -""e";puesto m de aprendizaje;Mein Neffe sucht nach der Schule einen Ausbildungsplatz als Kfz-Mechaniker.
ausgebildet;"";Für diesen Beruf müssen Sie gut ausgebildet sein.
ausdrucken, druckt aus, druckte aus, hat ausgedruckt;imprimir;Kann ich das auf deinem Drucker ausdrucken?
"der Ausdruck, -""e";término m,palabra f,expresión f,giro m,impreso m,manifestación f;1. Diesen Ausdruck habe ich noch nie gehört.2. Machen Sie doch bitte einen Ausdruck von der E-Mail.
auseinander ;separadamente;Wir wohnen nicht weit auseinander.
die Ausfahrt, -en;salida f;1. Hier ist eine Ausfahrt, da dürfen Sie nicht parken.2. Wie weit ist es noch bis zur Ausfahrt Freiburg?
ausfallen, fällt aus, fiel aus, ist ausgefallen;caerse,no tener lugar, suspenderse,estar de baja,fallar,resultar, quedar;1. Nächste Woche fällt der Kurs aus. 2. Mir fallen die Haare aus.
"der Ausflug, -""e";excursión f;Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.
ausfüllen, füllt aus, füllte aus, hat ausgefüllt;llenar,(re)llenar, cumplimentar,llenar, satisfacer;Füllen Sie bitte dieses Formular aus!
ausgeben, gibt aus, gab aus, hat ausgegeben;distribuir,expender,imprimir,emitir,dar,gastar en;Carola gibt viel Geld für ihr Hobby aus.
